XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
1,Midstream Operating Statement,1,Midstream,-1,NYMEX Henry Hub Close,1,NYMEX Henry Hub Close,10,NYMEX Henry Hub Close,0,,0,,0,,0,,0,,,false,false,false,false,false,true,true,true,false,Volumes,Nymex Gas,,,Nymex_Gas,false,,,,,,,false
2,Midstream Operating Statement,1,Midstream,0,Gross Volume,2,Gross Gas Volume (MCF),15,Gross Gas Volume (MCF),0,,0,,0,,0,,0,,,false,false,false,false,false,true,true,true,false,Volumes,Gross Gas Volume (MCF),,,Gross_Volume,false,,,,,,,false
3,Midstream Operating Statement,1,Midstream,1,Daily Throughput (MMBtu/d),3,Daily Throughput (MMBtu/d),20,Daily Throughput (MMBtu/d),0,,0,,0,,0,,0,,,false,false,false,false,true,true,true,true,false,Volumes,Gross Gas Volume (MCF),,,Gross_Volume,false,1,Gross_Volume,Divide,DAYS(SERVICE_DATE_LAST_DAY_OF_MONTH),__DATE_SERVICE_DATE_PERIOD,,false
4,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,6,Gas Sales Revenue,101,Gas Sales - EM,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream,MidstreamGas Sales RevenueGas Sales RevenueGas Sales - EM,,,Total Sales Revenue,true,,,,,,,false
5,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,6,Gas Sales Revenue,103,Gas Sales - RS,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream,MidstreamGas Sales RevenueGas Sales RevenueGas Sales - RS,,,Total Sales Revenue,true,,,,,,,false
6,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,7,Imbalance - Cashout Sales,107,Imbalance - Shipper Cashout Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,ImbalanceImbalance - Shipper Cashout Sales,,,Total Sales Revenue,true,,,,,,,false
7,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,7,Imbalance - Cashout Sales,109,Imbalance - PL Cashout Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,ImbalanceImbalance - PL Cashout Sales,,,Total Sales Revenue,true,,,,,,,false
8,Midstream Operating Statement,1,Midstream,3,NGL Sales Revenue,9,NGL Sales,111,NGL Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,NGL SalesNGL Sales,,,Total Sales Revenue,true,,,,,,,false
9,Midstream Operating Statement,1,Midstream,4,Condensate Sales,10,Condensate Sales,113,Condensate Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,Condensate SalesCondensate Sales,,,Total Sales Revenue,true,,,,,,,false
10,Midstream Operating Statement,1,Midstream,5,Total Gas Revenue,11,Total Gas Revenue,122,Total Gas Revenue,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Revenue,Total Sales RevenueTotal Sales Revenue,,,Total Sales Revenue,true,1,Total Sales Revenue,Sum,,,,false
15,Midstream Operating Statement,1,Midstream,7,Total Cost of Gas,30,Total Cost of Gas,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Cost of Gas,Total Cost of Gas,,,Total Cost of Gas,false,1,Total Cost of Gas,Sum,,,,false
16,Midstream Operating Statement,1,Midstream,9,Net Buy/Sell Activity,35,Net Buy/Sell Activity,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Buy/Sell Activity,Net Buy/Sell Activity,,,Net Buy/Sell Activity,false,2,Total Cost of Gas,Subtract,,,,false
17,Midstream Operating Statement,1,Midstream,9,Net Buy/Sell Activity,35,Net Buy/Sell Activity,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Buy/Sell Activity,Net Buy/Sell Activity,,,Net Buy/Sell Activity,false,2,Total Sales Revenue,Add,,,,false
18,Midstream Operating Statement,1,Midstream,10,Service Revenue,40,Service Revenue - GTH,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - GTHService Revenue - GTH,,,Total Service Revenue,true,,,,,,,false
19,Midstream Operating Statement,1,Midstream,10,Service Revenue,41,Service Revenue - CMP,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - CMPService Revenue - CMP,,,Total Service Revenue,true,,,,,,,false
