XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
1,1,Midstream Operating Statement,1,Midstream,0,Volumes,0,Gross Volume,10,NYMEX Henry Hub Close,0,,0,,0,,0,,0,,,,NYMEX_GAS_VOLUME,,,,1,false,false,false,false,false,true,true,false,true,false,Volumes,NYMEX Henry Hub Close,,,Nymex_Gas,true,,,,,,,false
2,2,Midstream Operating Statement,1,Midstream,0,Volumes,0,Gross Volume,15,Gross Gas Volume (MCF),0,,0,,0,,0,,0,,,,VOLUME,VOLUME_CAPEX_GA_TABLE_MIDSTREAM,CONFIGURATION,TRANSFORMATION,1,false,false,false,false,false,true,true,true,false,false,Volumes,Gross Gas Volume (MCF),,,Gross_Volume,true,,,,,,,false
3,4,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,1,Gas Sales Revenue,101,Gas Sales - EM,0,,0,,0,,0,,0,,,EM,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Revenue,GasGas Sales - EM,,,Total Sales Revenue,true,,,,,,,false
4,4,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,1,Gas Sales Revenue,101,Gas Sales - EM,0,,0,,0,,0,,0,,,510-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Revenue,GasGas Sales - EM,,,Total Sales Revenue,true,,,,,,,false
5,4,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,1,Gas Sales Revenue,101,Gas Sales - EM,0,,0,,0,,0,,0,,,510-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,GasGas Sales - EM,,,Total Sales Revenue,true,,,,,,,false
6,5,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,1,Gas Sales Revenue,103,Gas Sales - RS,0,,0,,0,,0,,0,,,510-120,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,GasGas Sales - RS,,,Total Sales Revenue,true,,,,,,,false
7,5,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,1,Gas Sales Revenue,103,Gas Sales - RS,0,,0,,0,,0,,0,,,RS,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Revenue,GasGas Sales - RS,,,Total Sales Revenue,true,,,,,,,false
8,5,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,1,Gas Sales Revenue,103,Gas Sales - RS,0,,0,,0,,0,,0,,,510-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Revenue,GasGas Sales - RS,,,Total Sales Revenue,true,,,,,,,false
9,6,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,5,Imbalance - Cashout Sales,107,Imbalance - Shipper Cashout Sales,0,,0,,0,,0,,0,,,514-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,ImbalanceImbalance - Shipper Cashout Sales,,,Total Sales Revenue,true,,,,,,,false
10,6,Midstream Operating Statement,1,Midstream,1,Gas Sales Revenue,5,Imbalance - Cashout Sales,107,Imbalance - Shipper Cashout Sales,0,,0,,0,,0,,0,,,514-130,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,ImbalanceImbalance - Shipper Cashout Sales,,,Total Sales Revenue,true,,,,,,,false
