XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
1,Lease Operating Statement,1,Upstream,0,Volumes,5,Oil (BBL),5,Oil (BBL),999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesOil (BBL),,,Total MCFE,false,1,Total MCFE,Multiply,6,true
2,Lease Operating Statement,1,Upstream,0,Volumes,6,Gas (MCF),6,Gas (MCF),999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesGas (MCF),,,Total MCFE,false,,,,,true
3,Lease Operating Statement,1,Upstream,0,Volumes,7,NGL (GAL),7,NGL (GAL),999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesNGL (GAL),,,Total MCFE,false,1,Total MCFE,Divide,7,true
4,Lease Operating Statement,1,Upstream,1,Total MCFE,8,Total MCFE,8,Total MCFE,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,true,false,false,false,Volumes,VolumesTotal MCFE,,,Total MCFE,false,1,Total MCFE,Sum,,false
5,Lease Operating Statement,1,Upstream,2,Revenue,1,Oil,1,Oil,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueOil,,,Total Revenue,false,,,,,false
6,Lease Operating Statement,1,Upstream,2,Revenue,2,Gas,2,Gas,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueGas,,,Total Revenue,false,,,,,false
7,Lease Operating Statement,1,Upstream,2,Revenue,3,NGL,3,NGL,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueNGL,,,Total Revenue,false,,,,,false
8,Lease Operating Statement,1,Upstream,3,Total Revenue,4,Total Revenue,4,Total Revenue,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Revenue,RevenueTotal Revenue,,,Total Revenue,false,1,Total Revenue,Sum,,false
40,Lease Operating Statement,1,Upstream,6,Taxes,14,Production Tax,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxGas,,,Total Taxes,false,,,,,false
41,Lease Operating Statement,1,Upstream,6,Taxes,14,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,false,,,,,false
42,Lease Operating Statement,1,Upstream,6,Taxes,14,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxNGL,,,Total Taxes,false,,,,,false
9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,false,,,,,false
10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,false,,,,,false
11,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremNGL,,,Total Taxes,false,,,,,false
12,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxGas,,,Total Taxes,false,,,,,false
13,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxOil,,,Total Taxes,false,,,,,false
14,Lease Operating Statement,1,Upstream,6,Taxes,15,Severance Tax,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesSeverance TaxNGL,,,Total Taxes,false,,,,,false
15,Lease Operating Statement,1,Upstream,6,Taxes,16,Conservation Taxes,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesConservation TaxGas,,,Total Taxes,false,,,,,false
16,Lease Operating Statement,1,Upstream,6,Taxes,16,Conservation Taxes,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesConservation TaxOil,,,Total Taxes,false,,,,,false
17,Lease Operating Statement,1,Upstream,6,Taxes,16,Conservation Taxes,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesConservation TaxNGL,,,Total Taxes,false,,,,,false
44,Lease Operating Statement,1,Upstream,6,Taxes,17,Other Production Taxes,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesOther Production TaxesGas,,,Total Taxes,false,,,,,false
45,Lease Operating Statement,1,Upstream,6,Taxes,17,Other Production Taxes,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesOther Production TaxesOil,,,Total Taxes,false,,,,,false
46,Lease Operating Statement,1,Upstream,6,Taxes,17,Other Production Taxes,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesOther Production TaxesNGL,,,Total Taxes,false,,,,,false
18,Lease Operating Statement,1,Upstream,7,Total Taxes,18,Total Taxes,18,Total Taxes,999,N/A,0,,0,,0,,0,,1,false,false,false,false,true,true,false,false,false,false,Taxes,Total TaxesTotal Taxes,,,Total Taxes,false,1,Total Taxes,Sum,,false
19,Lease Operating Statement,1,Upstream,8,Deducts,19,Transportation,300,Gas,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTransportationGas,,,Total Deducts,false,,,,,false
21,Lease Operating Statement,1,Upstream,8,Deducts,19,Transportation,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTransportationOil,,,Total Deducts,false,,,,,false
22,Lease Operating Statement,1,Upstream,8,Deducts,19,Transportation,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTransportationNGL,,,Total Deducts,false,,,,,false
23,Lease Operating Statement,1,Upstream,8,Deducts,20,Gathering,300,Gas,999,N/A,0,,0,,0,,0,,3,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsGatheringGas,,,Total Deducts,false,,,,,false
24,Lease Operating Statement,1,Upstream,8,Deducts,20,Gathering,301,Oil,999,N/A,0,,0,,0,,0,,3,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsGatheringOil,,,Total Deducts,false,,,,,false
25,Lease Operating Statement,1,Upstream,8,Deducts,20,Gathering,302,NGL,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsGatheringNGL,,,Total Deducts,false,,,,,false
26,Lease Operating Statement,1,Upstream,8,Deducts,21,Treating & Processing,300,Gas,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTreating & ProcessingGas,,,Total Deducts,false,,,,,false
27,Lease Operating Statement,1,Upstream,8,Deducts,21,Treating & Processing,301,Oil,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTreating & ProcessingOil,,,Total Deducts,false,,,,,false
28,Lease Operating Statement,1,Upstream,8,Deducts,21,Treating & Processing,302,NGL,999,N/A,0,,0,,0,,0,,1,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTreating & ProcessingNGL,,,Total Deducts,false,,,,,false
29,Lease Operating Statement,1,Upstream,8,Deducts,22,Compression,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsCompressionGas,,,Total Deducts,false,,,,,false
30,Lease Operating Statement,1,Upstream,8,Deducts,22,Compression,301,Oil,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsCompressionOil,,,Total Deducts,false,,,,,false
31,Lease Operating Statement,1,Upstream,8,Deducts,22,Compression,302,NGL,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsCompressionNGL,,,Total Deducts,false,,,,,false
32,Lease Operating Statement,1,Upstream,8,Deducts,23,Other Production Charges,300,Gas,999,N/A,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsOther Production ChargesGas,,,Total Deducts,false,,,,,false
33,Lease Operating Statement,1,Upstream,8,Deducts,23,Other Production Charges,301,Oil,999,N/A,0,,0,,0,,0,,3,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsOther Production ChargesOil,,,Total Deducts,false,,,,,false
34,Lease Operating Statement,1,Upstream,8,Deducts,23,Other Production Charges,302,NGL,999,N/A,0,,0,,0,,0,,3,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsOther Production ChargesNGL,,,Total Deducts,false,,,,,false
