XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
1,1,Lease Operating Statement,1,Upstream,0,Volumes,5,Oil (BBL),5,Oil (BBL),999,N/A,0,,0,,0,,0,,,513-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesOil (BBL),,,Total MCFE,1,Total MCFE,Multiply,7,true
2,1,Lease Operating Statement,1,Upstream,0,Volumes,5,Oil (BBL),5,Oil (BBL),999,N/A,0,,0,,0,,0,,,501-100,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesOil (BBL),,,Total MCFE,1,Total MCFE,Multiply,7,true
3,2,Lease Operating Statement,1,Upstream,0,Volumes,6,Gas (MCF),6,Gas (MCF),999,N/A,0,,0,,0,,0,,,502-100,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesGas (MCF),,,Total MCFE,,,,,true
4,3,Lease Operating Statement,1,Upstream,0,Volumes,7,NGL (GAL),7,NGL (GAL),999,N/A,0,,0,,0,,0,,,503-100,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,true,false,true,false,Volumes,VolumesNGL (GAL),,,Total MCFE,1,Total MCFE,Divide,7,true
5,5,Lease Operating Statement,1,Upstream,2,Revenue,1,Oil,1,Oil,999,N/A,0,,0,,0,,0,,,513-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueOil,,,Total Revenue,,,,,false
6,5,Lease Operating Statement,1,Upstream,2,Revenue,1,Oil,1,Oil,999,N/A,0,,0,,0,,0,,,501-100,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueOil,,,Total Revenue,,,,,false
7,6,Lease Operating Statement,1,Upstream,2,Revenue,2,Gas,2,Gas,999,N/A,0,,0,,0,,0,,,502-100,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueGas,,,Total Revenue,,,,,false
8,7,Lease Operating Statement,1,Upstream,2,Revenue,3,NGL,3,NGL,999,N/A,0,,0,,0,,0,,,503-100,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueNGL,,,Total Revenue,,,,,false
9,40,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,300,Gas,999,N/A,0,,0,,0,,0,,Louisiana Restoration Fee,LAREST,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxGas,,,Total Taxes,,,,,false
10,40,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,300,Gas,999,N/A,0,,0,,0,,0,,Texas Regulatory Fee,TXREG,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxGas,,,Total Taxes,,,,,false
