HIERARCHY_ID,HIERARCHY_NAME,PARENT_ID,DESCRIPTION,LEVEL_1,LEVEL_2,SOURCE_COLUMN,ENTITY_TYPE,IS_LEAF_NODE,SORT_ORDER
ACCTCODE,acctcode,,Auto-extracted from SQL on unknown,acctcode,,unknown,unknown,false,0
ACCTCODE_640-992,640-992,ACCTCODE,Maps unknown to '640-992',acctcode,640-992,unknown,unknown,true,1
ACCTCODE_ELSE,accts.account_code,ACCTCODE,ELSE - default when no conditions match,acctcode,accts.account_code,unknown,unknown,true,2
ADJBILLCAT,adjbillcat,,Auto-extracted from SQL on unknown,adjbillcat,,unknown,unknown,false,0
ADJBILLCAT_PAC990,PAC990,ADJBILLCAT,Maps unknown to 'PAC990',adjbillcat,PAC990,unknown,unknown,true,1
ADJBILLCAT_NLOE990,NLOE990,ADJBILLCAT,Maps unknown to 'NLOE990',adjbillcat,NLOE990,unknown,unknown,true,2
ADJBILLCAT_WOX990,WOX990,ADJBILLCAT,Maps unknown to 'WOX990',adjbillcat,WOX990,unknown,unknown,true,3
ADJBILLCAT_LOE722,LOE722,ADJBILLCAT,Maps unknown to 'LOE722',adjbillcat,LOE722,unknown,unknown,true,4
ADJBILLCAT_LOE990,LOE990,ADJBILLCAT,Maps unknown to 'LOE990',adjbillcat,LOE990,unknown,unknown,true,5
ADJBILLCAT_ELSE,billcats.billcat,ADJBILLCAT,ELSE - default when no conditions match,adjbillcat,billcats.billcat,unknown,unknown,true,6
STATE,state,,Auto-extracted from SQL on unknown,state,,unknown,unknown,false,0
STATE_NULL,NULL,STATE,Maps unknown to 'NULL',state,NULL,unknown,unknown,true,1
STATE_LA,LA,STATE,Maps unknown to 'LA',state,LA,unknown,unknown,true,2
STATE_ELSE,props.cost_center_state,STATE,ELSE - default when no conditions match,state,props.cost_center_state,unknown,unknown,true,3
PRODUCTID,productid,,Auto-extracted from SQL on unknown,productid,,unknown,unknown,false,0
PRODUCTID_NULL,NULL,PRODUCTID,Maps unknown to 'NULL',productid,NULL,unknown,unknown,true,1
PRODUCTID_ELSE,entries.product_code,PRODUCTID,ELSE - default when no conditions match,productid,entries.product_code,unknown,unknown,true,2
GL,gl,,Auto-extracted from SQL on account_code,gl,,account_code,account,false,0
GL_CASH,Cash,GL,Maps account_code to 'Cash',gl,Cash,account_code,account,true,1
GL_AFFILIATE_AR,Affiliate AR,GL,Maps account_code to 'Affiliate AR',gl,Affiliate AR,account_code,account,true,2
GL_AR,AR,GL,Maps account_code to 'AR',gl,AR,account_code,account,true,3
GL_PREPAID_EXPENSES,Prepaid Expenses,GL,Maps account_code to 'Prepaid Expenses',gl,Prepaid Expenses,account_code,account,true,4
GL_INVENTORY,Inventory,GL,Maps account_code to 'Inventory',gl,Inventory,account_code,account,true,5
GL_OTHER_CURRENT_ASSETS,Other Current Assets,GL,Maps account_code to 'Other Current Assets',gl,Other Current Assets,account_code,account,true,6
GL_DERIVATIVE_ASSETS,Derivative Assets,GL,Maps account_code to 'Derivative Assets',gl,Derivative Assets,account_code,account,true,7
GL_DEFERRED_TAX_ASSETS,Deferred Tax Assets,GL,Maps account_code to 'Deferred Tax Assets',gl,Deferred Tax Assets,account_code,account,true,8
GL_CAPEX,Capex,GL,Maps account_code to 'Capex',gl,Capex,account_code,account,true,9
GL_OTHER_ASSETS,Other Assets,GL,Maps account_code to 'Other Assets',gl,Other Assets,account_code,account,true,10
GL_ACCUMULATED_DD&A,Accumulated DD&A,GL,Maps account_code to 'Accumulated DD&A',gl,Accumulated DD&A,account_code,account,true,11
GL_AP,AP,GL,Maps account_code to 'AP',gl,AP,account_code,account,true,12
GL_TOTAL_DEBT,Total Debt,GL,Maps account_code to 'Total Debt',gl,Total Debt,account_code,account,true,13
GL_OTHER_CURRENT_LIABILITIES,Other Current Liabilities,GL,Maps account_code to 'Other Current Liabilities',gl,Other Current Liabilities,account_code,account,true,14
GL_OTHER_LIABILITIES,Other Liabilities,GL,Maps account_code to 'Other Liabilities',gl,Other Liabilities,account_code,account,true,15
GL_EQUITY,Equity,GL,Maps account_code to 'Equity',gl,Equity,account_code,account,true,16
GL_OIL_SALES,Oil Sales,GL,Maps account_code to 'Oil Sales',gl,Oil Sales,account_code,account,true,17
GL_GAS_SALES,Gas Sales,GL,Maps account_code to 'Gas Sales',gl,Gas Sales,account_code,account,true,18
GL_NGL_SALES,NGL Sales,GL,Maps account_code to 'NGL Sales',gl,NGL Sales,account_code,account,true,19
GL_OTHER_INCOME,Other Income,GL,Maps account_code to 'Other Income',gl,Other Income,account_code,account,true,20
GL_CASHOUTS,Cashouts,GL,Maps account_code to 'Cashouts',gl,Cashouts,account_code,account,true,21
GL_SERVICE_REVENUE,Service Revenue,GL,Maps account_code to 'Service Revenue',gl,Service Revenue,account_code,account,true,22
GL_GATHERING_FEES,Gathering Fees,GL,Maps account_code to 'Gathering Fees',gl,Gathering Fees,account_code,account,true,23
GL_COMPRESSION_FEES,Compression Fees,GL,Maps account_code to 'Compression Fees',gl,Compression Fees,account_code,account,true,24
GL_TREATING_FEES,Treating Fees,GL,Maps account_code to 'Treating Fees',gl,Treating Fees,account_code,account,true,25
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,GL,Maps account_code to 'Capital Recovery Fees',gl,Capital Recovery Fees,account_code,account,true,26
