HIERARCHY_ID,HIERARCHY_NAME,PARENT_HIERARCHY,SOURCE_COLUMN,CONDITION_TYPE,CONDITION_VALUE,MAPPED_VALUE,RAW_CONDITION
ACCTCODE_ELSE,accts.account_code,acctcode,unknown,ELSE,*,accts.account_code,ELSE
ADJBILLCAT_ELSE,billcats.billcat,adjbillcat,unknown,ELSE,*,billcats.billcat,ELSE
STATE_ELSE,props.cost_center_state,state,unknown,ELSE,*,props.cost_center_state,ELSE
PRODUCTID_ELSE,entries.product_code,productid,unknown,ELSE,*,entries.product_code,ELSE
GL_CASH,Cash,gl,account_code,ILIKE,101%,Cash,account_code ILIKE '101%'
GL_AFFILIATE_AR,Affiliate AR,gl,account_code,ILIKE,125%,Affiliate AR,account_code ILIKE '125%'
GL_AR,AR,gl,account_code,ILIKE,11%,AR,"account_code ILIKE ANY ('11%', '12%')"
GL_AR,AR,gl,account_code,ILIKE,12%,AR,"account_code ILIKE ANY ('11%', '12%')"
GL_PREPAID_EXPENSES,Prepaid Expenses,gl,account_code,ILIKE,13%,Prepaid Expenses,account_code ILIKE '13%'
GL_INVENTORY,Inventory,gl,account_code,ILIKE,14%,Inventory,account_code ILIKE '14%'
GL_OTHER_CURRENT_ASSETS,Other Current Assets,gl,account_code,ILIKE,15%,Other Current Assets,"account_code ILIKE ANY ('15%', '16%')"
GL_OTHER_CURRENT_ASSETS,Other Current Assets,gl,account_code,ILIKE,16%,Other Current Assets,"account_code ILIKE ANY ('15%', '16%')"
GL_DERIVATIVE_ASSETS,Derivative Assets,gl,account_code,ILIKE,17%,Derivative Assets,account_code ILIKE '17%'
GL_DEFERRED_TAX_ASSETS,Deferred Tax Assets,gl,account_code,ILIKE,18%,Deferred Tax Assets,account_code ILIKE '18%'
GL_CAPEX,Capex,gl,account_code,IN,205-102,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-106,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-112,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-116,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-117,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-152,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-190,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-202,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-206,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-252,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,205-990,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,210-110,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
GL_CAPEX,Capex,gl,account_code,IN,210-140,Capex,"account_code IN (
            '205-102', '205-106', '205-112', '205-116', '205-117',
            '205-152', '205-190', '205-202', '205-206', '205-252',
            '205-990', '210-110', '210-140', '210-990', '215-110',
            '215-990', '220-110', '220-990', '225-110', '225-140',
            '225-990', '230-110', '230-140', '230-990', '232-200',
            '232-210', '235-105', '235-110', '235-115', '235-116',
            '235-120', '235-250', '235-275', '240-110', '240-140',
            '240-990', '242-150', '242-160', '244-110', '244-140',
            '244-410', '244-440', '244-560', '244-590', '244-610',
            '244-640', '244-990', '244-995', '244-998', '245-202',
            '245-206', '245-227', '245-252', '245-302', '245-306',
            '245-402', '245-412', '245-602', '245-902', '245-906',
            '246-312', '246-346', '246-322', '246-316'
        )"
