HIERARCHY_ID,HIERARCHY_NAME,PARENT_ID,SOURCE_COLUMN,IS_LEAF_NODE
ACCTCODE,acctcode,,account_code,false
ACCTCODE_640-992,640-992,ACCTCODE,account_code,true
ADJBILLCAT,adjbillcat,,transaction_description,false
ADJBILLCAT_NLOE990,NLOE990,ADJBILLCAT,transaction_description,true
ADJBILLCAT_PAC990,PAC990,ADJBILLCAT,transaction_description,true
STATE,state,,cost_center_state,false
"STATE_NULL
________WHEN_PROPS.C","NULL
        WHEN props.cost_center_state IN (",STATE,cost_center_state,true
PRODUCTID,productid,,product_code,false
"PRODUCTID_NULL
________ELSE_ENTRIES","NULL
        ELSE entries.product_code",PRODUCTID,product_code,true
GL,gl,,account_code,false
GL_ACCUMULATED_DD&A,Accumulated DD&A,GL,account_code,true
GL_CASHOUTS,Cashouts,GL,account_code,true
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,GL,account_code,true
GL_TRANSPORTATION_FEES,Transportation Fees,GL,account_code,true
GL_FUEL_PURCHASES,Fuel Purchases,GL,account_code,true
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,GL,account_code,true
GL_SAND_PURCHASES,Sand Purchases,GL,account_code,true
GL_DERIVATIVE_ASSETS,Derivative Assets,GL,account_code,true
GL_TOTAL_DEBT,Total Debt,GL,account_code,true
GL_SERVICE_INCOME,Service Income,GL,account_code,true
GL_WATER_INCOME,Water Income,GL,account_code,true
GL_COMPRESSION_FEES,Compression Fees,GL,account_code,true
GL_OTHER_LIABILITIES,Other Liabilities,GL,account_code,true
GL_OTHER_INCOME,Other Income,GL,account_code,true
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,GL,account_code,true
GL_BAD_DEBT_EXPENSE,Bad Debt Expense,GL,account_code,true
GL_RENTAL_INCOME,Rental Income,GL,account_code,true
GL_RENTAL_EXPENSES,Rental Expenses,GL,account_code,true
GL_DEMAND_FEES,Demand Fees,GL,account_code,true
GL_SWD_EXPENSES,SWD Expenses,GL,account_code,true
GL_INVENTORY,Inventory,GL,account_code,true
GL_GATHERING_FEES,Gathering Fees,GL,account_code,true
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,GL,account_code,true
GL_AR,AR,GL,account_code,true
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,GL,account_code,true
GL_CAPEX,Capex,GL,account_code,true
GL_OIL_SALES,Oil Sales,GL,account_code,true
GL_OTHER_CURRENT_ASSETS,Other Current Assets,GL,account_code,true
