account_code,account_name,account_type,normal_balance,amount,statement,fiscal_year
4000,Revenue,Revenue,Credit,391035000000,Income Statement,2024
5000,Cost of Goods Sold,COGS,Debit,210352000000,Income Statement,2024
5500,Gross Profit,Gross Profit,Credit,180683000000,Income Statement,2024
6100,Research & Development,Operating Expense,Debit,31370000000,Income Statement,2024
6200,"Selling, General & Administrative",Operating Expense,Debit,26097000000,Income Statement,2024
7000,Operating Income,Operating Income,Credit,123216000000,Income Statement,2024
8000,Income Tax Expense,Tax,Debit,29749000000,Income Statement,2024
9000,Net Income,Net Income,Credit,93736000000,Income Statement,2024
1010,Cash & Cash Equivalents,Current Asset,Debit,29943000000,Balance Sheet,2024
1020,Accounts Receivable,Current Asset,Debit,66243000000,Balance Sheet,2024
1030,Inventories,Current Asset,Debit,7286000000,Balance Sheet,2024
1100,Total Current Assets,Current Asset,Debit,152987000000,Balance Sheet,2024
1200,"Property, Plant & Equipment",Non-Current Asset,Debit,44856000000,Balance Sheet,2024
1000,Total Assets,Total Assets,Debit,364980000000,Balance Sheet,2024
2010,Accounts Payable,Current Liability,Credit,68960000000,Balance Sheet,2024
2100,Total Current Liabilities,Current Liability,Credit,176392000000,Balance Sheet,2024
2200,Long-Term Debt,Non-Current Liability,Credit,85750000000,Balance Sheet,2024
2000,Total Liabilities,Total Liabilities,Credit,308030000000,Balance Sheet,2024
3100,Retained Earnings,Equity,Credit,-19154000000,Balance Sheet,2024
3000,Total Stockholders' Equity,Total Equity,Credit,56950000000,Balance Sheet,2024
